Repository,User Link
bitcoin-sv/spv-wallet,chris-4chain
Vinzee69/Elvin-kristian-putranto-226652016-,Vinzee69
MystenLabs/fastcrypto,jonas-lj
sanzzsfit/Tugas-Blockchain-Mohammad-Ridho-Hafiedz-226652006,sanzzsfit
starlash7/BlockchainValley,starlash7
ELVINCS26/Tugas-Blockchain-Muhammad-Elvin-Cs-226652004,ELVINCS26
Aleksander-adm/SilvesterAleksanderA_226652008,Aleksander-adm
ethereum/ethereum-org-website,pettinarip
ethereum/ethereum-org-website,wackerow
ethereum/ethereum-org-website,corwintines
nix-community/ethereum.nix,bohendo
indianaPoly/blockchain-vaccination_medicalHistory,indianaPoly
dymensionxyz/dymension,harry-hov
KYVENetwork/ksync,troykessler
MetaMask/metamask-sdk,abretonc7s
IntersectMBO/cardano-cli,CarlosLopezDeLara
MaPo00/BlockChain,MaPo00
dfinity/oisy-wallet,AntonioVentilii-DFINITY
dfinity/oisy-wallet,bitdivine
dfinity/oisy-wallet,DenysKarmazynDFINITY
alfitowisnuu/TugasBlockchain-Alfito-Wisnu-Prasetya-226652011,alfitowisnuu
Asxka/TugasBlockchain-Gusti-Ananda-226652007-,Asxka
NehemiahDamian/Blockchain_Thesis_App,NehemiahDamian
NehemiahDamian/Blockchain_Thesis_App,reetu-singh06
fajarramadhann/NotesJar-Blockchain,fajarramadhann
tradingstrategy-ai/trade-executor,miohtama
roma-marshall/web3-ton-dapp,roma-marshall
immutable/ts-immutable-sdk,jiyounglee
immutable/ts-immutable-sdk,glomotion
immutable/ts-immutable-sdk,jhesgodi
immutable/ts-immutable-sdk,mimi-imtbl
dfinity/awesome-internet-computer,Stefs-2142
btcwhiz/btcwhiz,btcwhiz
status-im/nimbus-eth1,tersec
status-im/nimbus-eth1,advaita-saha
status-im/nimbus-eth1,mjfh
status-im/nimbus-eth1,bhartnett
status-im/nimbus-eth1,arnetheduck
atoi2008/blockchain-3d-visualizer,atoi2008
cometbft/cometbft,hvanz
magicblock-labs/bolt,GabrielePicco
coral-xyz/anchor,acheroncrypto
JoinColony/colonyNetwork,area
Tegar6776/TegarWijaya,Tegar6776
FrankOnyemaOrji/alu-blockchain,FrankOnyemaOrji
Peng-Protocol/NFT-Coldswap,ElixExo
axelarnetwork/axelar-cgp-sui,milapsheth
axelarnetwork/axelar-cgp-sui,Foivos
bigshortbets/market-frontend,kacpergumieniuk
paytaca/watchtower-cash,Jetszxcki
paytaca/watchtower-cash,joemarct
TAHCOINBLOCKCHAIN/db2github,actions-user
athenavm/athena,poszu
o1-labs/docs2,ymekuria
wooyang2018/svp-blockchain,wooyang2018
Chia-Network/chia-blockchain,emlowe
planetarium/NineChronicles.Headless,U-lis
Pramanit/Pramanit,giteshsarvaiya
barkprotocol/ecommerce-platform,barkprotocol
RahmadaniMawardi/Rahmadani-Mawardi,RahmadaniMawardi
pkprajapati7402/Anonymous-Feedback-Blockchain,pkprajapati7402
Harzit/BlocxVote,Harzit
dogeorg/dogebox-docs,tjstebbing
JPCodes44/holis,JPCodes44
jayden-dang/movement-developer-portal-resources,jayden-dang
linera-io/linera-protocol,MathieuDutSik
CBNU-ChainGATE/ChainGATE-blockchain,DDongu
X-Financial-Technologies/usdx,amr080
VegetableCrow/Blockchain-assignment,VegetableCrow
komalvsingh/BlockchainCA,komalvsingh
cosmostation/cosmostation-android,Kwonhyukjoon
cuckoo-network/cuckoo,puncsky
aptos-labs/aptos-core,areshand
aptos-labs/aptos-core,yeptos
aptos-labs/aptos-core,rustielin
aptos-labs/aptos-core,wrwg
aptos-labs/aptos-core,rahxephon89
aptos-labs/aptos-core,msmouse
apache/incubator-resilientdb-resvault,apratimshukla6
VidyeshValluru/Open-NFT-Market,VidyeshValluru
MixinNetwork/android-app,dependabot[bot]
planetarium/NineChronicles,eugene-doobu
planetarium/NineChronicles,boscohyun
ibct-dev/blockchain-api,chobyungkwon
OpenTekHub/blockchain,J-B-Mugundh
OpenTekHub/blockchain,Harish-2003
Pony-Driland/Website,JasminDreasond
orbit-cosmos/omerta_solana_spl,asadtiger97
orochi-network/zkDatabase,SangTran-127
orochi-network/zkDatabase,chiro-hiro
igrisdev/BlockChain_U,igrisdev
steve-care-software/steve,steve-rodrigue
vitalka14101996/Automated-Token-Sender-for-AirDrop-or-Holders,vitalka14101996
balancednetwork/balanced-network-interface,0xmilktea
androSanz/blockChain,androSanz
AElfProject/aelf-docs,vasmohi
amr080/xft-ondo,amr080
MetaMask/metamask-extension,martahj
MetaMask/metamask-extension,itsyoboieltr
Lunexa-Project/Lunexa,Lunexa-Project
w3f/Grants-Program,keeganquigley
learningis1st/learningis1.st,learningis1st
abujabarmubarak/Blockchainsecure,abujabarmubarak
unlock-protocol/unlock,renovate[bot]
unlock-protocol/unlock,0xTxbi
unlock-protocol/unlock,blurpesec
s4bot3ur/Blockchain-Challenges,s4bot3ur
manojpm181/Blockchain-Based-Decentralized-Cloud-Storage-System,manojpm181
cardano-community/guild-operators,rdlrt
MrNickouls2003/solidity-smart-contracts,MrNickouls2003
jy836979/blockchain,jy836979
NibiruChain/nibiru,Unique-Divine
NibiruChain/nibiru,dependabot[bot]
nimiq/core-rs-albatross,paberr
nimiq/core-rs-albatross,styppo
nimiq/core-rs-albatross,viquezclaudio
nimiq/core-rs-albatross,dependabot[bot]
nimiq/core-rs-albatross,Eligioo
nafsilabs/massa-dart,jwmdev
elon00/Solana-Ecosystem-Growth-Initiative,elon00
aptos-labs/aptos-indexer-processors,yuunlimm
EDDY1015/GBC_BlockchainPB,EDDY1015
khiem20tc/go-eth-blockchain-helper,khiem20tc
Jobex11/Mooncoin-Bot,Jobex11
avasdao/nexajs,nyusternie
HuyWebSmith/BlockChain_E-Wallet,HuyWebSmith
0xDeadList/0xDeadList,github-actions[bot]
ProjetosCarvalho/Blockchain,ProjetosCarvalho
DeFiCh/ain,Jouzo
smalcerizab/smalcerizab-blockchain,smalcerizab
abchrisxyz/ergowatch,abchrisxyz
ava-labs/hypersdk,aaronbuchwald
ava-labs/hypersdk,joshua-kim
ava-labs/hypersdk,containerman17
Meeds-io/wallet,exo-swf
P4-Games/ChatterPay-Backend,dappsar
BlueWallet/BlueWallet,marcosrdz
renegade-fi/renegade-frontend,sehyunc
sivicstudio/starkludo,princeibs
Lostovayne/Dark-saas-blockchain-site,Lostovayne
bauti-defi/Contracts-V4,bauti-defi
unionlabs/union,aeryz
unionlabs/union,cor
unionlabs/union,Caglankaan
unionlabs/union,benluelo
unionlabs/union,o-az
luciocodeigniter/betcandidate-web3,luciocodeigniter
indianaPoly/blockchain-localSimulator,indianaPoly
ResilientApp/ResView,aunshx
macrocosm-os/prompting,dbobrenko
olasunkanmi-SE/Solana-Blockchain-School,olasunkanmi-SE
olasunkanmi-SE/Solana-Blockchain-School,olasunkanmiraymond
pokt-network/pocket-core,msmania
fixes-world/token-list,btspoony
azmisahin-test/DBF,azmisahin
holochain/holochain,holochain-release-automation2
SciEcon/SoK_Blockchain_Decentralization,Evan-xma
nedix/bitcoin-docker,renovate-bot-github-app[bot]
Transcranial-Solutions/ICONProject,tonoplast
litrane/blockchain-conf-daily,litrane
weimarquintero/Votacion_descentralizada,weimarquintero
manse99/Web3.js_BlockchainApp,manse99
mavrick2023/blockchain,mavrick2023
nonanne/AttendanceSystem,nonanne
JosephNjorog/AfriLearn,JosephNjorog
planetarium/lib9c,U-lis
OliveiraEdu/OpenScience,OliveiraEdu
DieHard073055/diehard073055,github-actions[bot]
andersonjeronimo/NFT_MarketPlace,andersonjeronimo
tangem-public/blockchain-sdk-swift,actions-user
pmenta/protochain,pmenta
ecency/vision-next,feruzm
dpvasani/dpvasani,github-actions[bot]
thirdweb-dev/unity-sdk,0xFirekeeper
sean6224/NodeTalk,sean6224
AudiusProject/audius-protocol,rickyrombo
AudiusProject/audius-protocol,alecsavvy
AudiusProject/audius-protocol,isaacsolo
AudiusProject/audius-protocol,endline
AudiusProject/audius-protocol,raymondjacobson
AudiusProject/audius-protocol,samgutentag
AudiusProject/audius-protocol,amendelsohn
mascarenhasneil/Blockchain,mascarenhasneil
mascarenhasneil/Blockchain,dependabot[bot]
rblaine95/monero-banlist,github-actions[bot]
XRPLF/xrpl.js,dependabot[bot]
XRPLF/xrpl.js,Kassaking7
DaniloTovar/Blockchain2,DaniloTovar
likhonsible/Flash-USDT-Sender,IAMJulian0
likhonsible/Flash-USDT-Sender,hansoloalready
likhonsible/Flash-USDT-Sender,notblink
likhonsible/Flash-USDT-Sender,hakancelikdev
likhonsible/Flash-USDT-Sender,benelog
likhonsible/Flash-USDT-Sender,vibhordubey333
likhonsible/Flash-USDT-Sender,devtype-blogspot-com
likhonsible/Flash-USDT-Sender,matricola-CognomeNome
likhonsible/Flash-USDT-Sender,footprinthere
likhonsible/Flash-USDT-Sender,pataraco
likhonsible/Flash-USDT-Sender,matthew-brett
likhonsible/Flash-USDT-Sender,rpfigueira
likhonsible/Flash-USDT-Sender,manbing
likhonsible/Flash-USDT-Sender,HeekangPark
likhonsible/Flash-USDT-Sender,picodotdev
likhonsible/Flash-USDT-Sender,razonyang
likhonsible/Flash-USDT-Sender,gbrouwer
likhonsible/Flash-USDT-Sender,tstapler
likhonsible/Flash-USDT-Sender,username12
likhonsible/Flash-USDT-Sender,anushkar07
likhonsible/Flash-USDT-Sender,rNLKJA
likhonsible/Flash-USDT-Sender,neerajdantu
likhonsible/Flash-USDT-Sender,kevinrue
likhonsible/Flash-USDT-Sender,awnishmmg
likhonsible/Flash-USDT-Sender,minkj1992
likhonsible/Flash-USDT-Sender,chenzhiwei
likhonsible/Flash-USDT-Sender,youremai
likhonsible/Flash-USDT-Sender,jacksondgmedeiros
likhonsible/Flash-USDT-Sender,manishkumarc2c
likhonsible/Flash-USDT-Sender,benjcunningham
likhonsible/Flash-USDT-Sender,ibbles
likhonsible/Flash-USDT-Sender,hdknr
likhonsible/Flash-USDT-Sender,wangshijun
likhonsible/Flash-USDT-Sender,likhonsible
likhonsible/Flash-USDT-Sender,letuan86
likhonsible/Flash-USDT-Sender,Trillobit1
IntersectMBO/cardano-ledger,sgillespie
IntersectMBO/cardano-ledger,lehins
sudoblockio/icon-status-page,upptime-bot
pseudoyu/top-blockchain-projects,actions-user
rizkisyaf/Filyte,rizkisyaf
chawyehsu/dorado,github-actions[bot]
nautls/ergo-graphql,arobsn
Ashy5000/polycash,Ashy5000
Lappsnet/XFY,Lappsnet
mx-space/core,renovate[bot]
theosovv/tellis,theosov
xchainjs/xchainjs-lib,juanfri-web3
MATRAB-Mohamed/blockchain_with_k8s,MATRAB-Mohamed
AIExxplorer/ACERVO_DE_TECNOLOGIA,AIExxplorer
evgenykuzyakov/compact-indexer,evgenykuzyakov
andrecaiado/nestjs-blockchain-txs,andrecaiado
yahia008/minter2.0,yahia008
firhanabdurr/evoting-blockchain,firhanabdurr
StrBoll/Blockchain_Voting,StrBoll
guianzollin/cryptoCoin,guianzollin
o1-labs/zkapp-cli,hattyhattington17
o1-labs/zkapp-cli,github-actions[bot]
GenerationSoftware/pt-classic,Ncookiez
MystenLabs/sui,sui-merge-bot[bot]
MystenLabs/sui,mystenmark
MystenLabs/sui,mwtian
MystenLabs/sui,longbowlu
MystenLabs/sui,suiwombat
MrLightspeed/Bad-Idea-AI,MrLightspeed
MrLightspeed/Bad-Idea-AI,github-actions[bot]
blockscout/blockscout,dependabot[bot]
Tico4Chain-Coders/Trustless-Backend,zkCaleb-dev
decred/dcrd,jrick
tupui/soroban-versioning,tupui
ethanw2457/BlockChainProjects,ethanw2457
Uniswap/interface,hello-happy-puppy
erigontech/erigon,errge
erigontech/erigon,sudeepdino008
YuriiOks/Cryptoeconomics-Blockchain-Challenge,YuriiOks
Undline/UndChain,Undline
ethereum/solidity,rodiazet
ethereum/solidity,cameel
dfinity/agent-rs,chenyan-dfinity
robke0224/blockchain,robke0224
willdev-crypto/formacao-blockchain,willdev-crypto
Chia-Network/chia-docs,danieljperry
Chia-Network/chia-docs,BrandtH22
ApeWorX/silverback,fubuloubu
WyattJohnsonUVA/BlockchainAtUva,WyattWetzler
onflow/flow-emulator,peterargue
onflow/flow-emulator,turbolent
Havorahq/bounxa,PeluMike
kozgunov/diploma-research,kozgunov
orcfax/explorer.orcfax.io,gchartier
renegade-fi/renegade,joeykraut
evmos/evmos,GAtom22
upupnoah/blockchain-in-rust,upupnoah
Kerry1207/WaterCredit,Kerry1207
stellar/go,sreuland
wslyvh/useWeb3,github-actions[bot]
stellar/stellar-etl-airflow,amishas157
james-txt/pocketwallet,james-txt
onflow/docs,sisyphusSmiling
reown-com/blockchain-api,geekbrother
UrielA01/blockchain,UrielA01
UbongIsrael/Solana-tracker-API-,UbongIsrael
ethpandaops/ethereum-package,pk910
ethpandaops/ethereum-package,samlaf
rollchains/spawn,Reecepbcups
ava-labs/avalanche-academy,owenwahlgren
liftedinit/talib,jgryffindor
ISTechLabs/SeiUnitySDK,MainIsTechLabs
MetaMask/metamask-docs,alexandratran
hamzas1702/DOGDEFI-FrontEnd,jahadtariq
JUnelus/Tokenized-Asset-Management-on-Blockchain,JUnelus
nervosnetwork/ckb-explorer-frontend,Keith-CY
Adesdesk/flow,Adesdesk
jbx-protocol/juice-interface,johnnyd-eth
shapeshift/unchained,NeOMakinG
NethermindEth/nethermind,Marchhill
iamatharva/moralis-automation-task,iamatharva
alloy-rs/alloy,shekhirin
alloy-rs/alloy,mattsse
nessshon/tonutils,nessshon
jonataserpa/solidity-blockchain,jonataserpa
Thirdyearproject/Blockchain,LegendarySJ
XRPLF/rippled,intelliot
XRPLF/rippled,ckeshava
CMY42/BlockchainETH,CMY42
shurankain/rsm-en,shurankain
usherlabs/x-twitter-nfts,xlassix
CityOfZion/neon-wallet-desktop,thiagocbalducci
CityOfZion/neon-wallet-desktop,hotequil
tales1982/Blockchain,tales1982
MattTV/Blockchain-Engineering,MattTV
koinos/koinos-docs,brklyn8900
koinos/koinos-docs,sgerbino
fdioguardi/UNLP_blockchain,fdioguardi
Surabaya-Blockchain-Alliance/Surabaya-Blockchain-Alliance,alfset
3DotsHub/hub-manager-app,samclassix
onflow/flow-go,zhangchiqing
provenance-io/explorer-service,nullpointer0x00
TowoLabs/ftso-signal-providers,stakedao-devops
TowoLabs/ftso-signal-providers,RareData
volodymyrprokopyuk/go-blockchain,volodymyrprokopyuk
FrozenAssassine/FrozenBlockChain,FrozenAssassine
gofractally/psibase,James-Mart
monero-project/monero,luigi1111
playmonkey/blockchain-resources,playmonkey
iamshvetsov/mystery-private,iamshvetsov
ByteChain-Labs/ByteChain-Testnet-Beta,nifemibosun
CityOfZion/blockchain-services,thiagocbalducci
CityOfZion/blockchain-services,hotequil
CityOfZion/blockchain-services,invalid-email-address
lexendx/Smart-Contract-ICO-Blockchain,lexendx
aglkm/grin-explorer,aglkm
moonbeam-foundation/moonbeam,pLabarta
Benup211/NFT_Blockchain,Rajendra3213
Benup211/NFT_Blockchain,Benup211
input-output-hk/peras-design,bwbush
NRmethun/Blockchain_bodyMap,NRmethun
blinklabs-io/node,agaffney
alephium/alephium,polarker
alephium/alephium,h0ngcha0
xian-network/xian-core,duelingbenjos
xian-network/xian-core,Endogen
cardano-scaling/hydra,locallycompact
argctl/c_block_chain_project,argctl
ITZSHOAIB/chukti,ITZSHOAIB
ITZSHOAIB/chukti,github-actions[bot]
exilesprx/blockchain,dependabot[bot]
iberoam/optimism-chapter,iberoam
viper-00/cryptopayserver,viper-00
Polkadot-Blockchain-Academy/alumni-hub,dependabot[bot]
elys-network/elys,amityadav0
dongsub-joung/myBlockchainFingerprint,dongsub-joung
Ncookiez/dskit,Ncookiez
RomanGhost/my_blockchain,RomanGhost
ProjetosSouza/Blockchain,ProjetosSouza
blahablast/blockchain-developer-bootcamp,samblaha-mri
kryptokrona/hugin-desktop,n9lsjr
coti-io/coti-remix-plugin,danielgruesso
BowTiedDevil/degenbot,BowTiedDevil
coti-io/documentation,danielgruesso
JerryY1217/Trading-Prototype-in-BlockChain,JerryY1217
Kava-Labs/kava,drklee3
oasisprotocol/nexus,pro-wh
PaimaStudios/paima-engine,SebastienGllmt
thorswap/SwapKit,towanTG
thorswap/SwapKit,github-actions[bot]
ghasemkiani/evm,ghasemkiani
3ls3if/Cybersecurity-Notes,3ls3if
Rui00Barata/GopherChain,Rui00Barata
Sentnl/nodepulse,ankh2054
hyperlane-xyz/hyperlane-monorepo,paulbalaji
charmantemortt/Blockchain-homework,charmantemortt
Filollan/Backend_Historias_Clinicas,Filollan
AstarNetwork/growth-program,Gunit2481
PsyberHQ/psyber,makkarankush68
KLYN74R/KlyntarCore,VladChernenko
auxo-zk/auxo-libs,phn210
Preetirajdhami/BlockchainVoting,Preetirajdhami
pactus-project/pactus,themantre
smartcontractkit/chainlink,silaslenihan
smartcontractkit/chainlink,winder
ava-labs/avalanche-docs,owenwahlgren
vgrichina/web4-deploy,vgrichina
bitcoin-s/bitcoin-s,Christewart
xelis-project/xelis-explorer,g45t345rt
Wilfrieddevcreate/Test_blockchain,Wilfrieddevcreate
status-im/status-go,osmaczko
hubertwojcik/python-blockchain,hubertwojcik
near/nearcore,Longarithm
anatolii-kabanov/ton-simple-contract,anatolii-kabanov
brandonbryant12/blockchain-dashboard,brandonbryant12
PoCInnovation/Workshops,Sacharbon
Fullstack-WEB-Blockchain-Developer/Fullstack-WEB-Blockchain-Developer,invalid-email-address
xian-network/xian-contracting,crosschainer
xian-network/xian-contracting,duelingbenjos
KLYN74R/Explorer,VladChernenko
tanishka786/Drug_Blockchain,tanishka786
onflow/flow-go-sdk,franklywatson
itsmeenal/FreelanceDAO,itsmeenal
HyperPlay-Gaming/hyperplay-desktop-client,flavioislima
Sapient-Predictive-Analytics/dataportal,Fugu18
onflow/fcl-js,jribbink
onflow/fcl-js,github-actions[bot]
Hpgbao2204/Algorand-Protocol,Hpgbao2204
Meharab/DAO,Meharab
sshahabx/Blockchain-Implementation-using-Go,sshahabx
palomachain/pigeon,maharifu
MKargapoltsev/python-blockchain,MKargapoltsev
gemwalletcom/core,dependabot[bot]
